enzyme	name	all	unique
AlfI	unclassified	3183	2873
AlfI	Blastococcus	38881	34549
AlfI	Cumulibacter	1597	1557
AlfI	Geodermatophilus	36724	32699
AlfI	Klenkia	7348	6257
AlfI	Modestobacter	15483	13153
AlfI	unclassified	5888	4520
AlfI	Glycomyces	16590	14971
AlfI	Haloglycomyces	733	718
AlfI	Salilacibacter	791	757
AlfI	Stackebrandtia	4981	4737
AlfI	Haloactinopolyspora	2114	1939
AlfI	Jiangella	23006	21746
AlfI	Phytoactinopolyspora	4267	2409
AlfI	Angustibacter	1984	1791
AlfI	Kineococcus	5542	5130
AlfI	Kineosporia	4109	3857
AlfI	Pseudokineococcus	1000	894
AlfI	Quadrisphaera	5548	4935
AlfI	Beutenbergia	1397	1270
AlfI	Miniimonas	2821	2485
AlfI	Salana	944	838
AlfI	Serinibacter	2620	2331
AlfI	Bogoriella	1419	1336
AlfI	Georgenia	11169	10294
AlfI	Brevibacterium	44601	41950
AlfI	Actinotalea	4071	3603
AlfI	Cellulomonas	67570	61644
AlfI	Oerskovia	4923	4508
AlfI	Paraoerskovia	1322	1203
AlfI	Sediminihabitans	1489	1286
AlfI	Demequina	15496	14668
AlfI	Lysinimicrobium	10865	10121
AlfI	Brachybacterium	34412	32777
AlfI	Dermabacter	4117	3764
AlfI	Devriesea	1272	1244
AlfI	Helcobacillus	834	654
AlfI	Barrientosiimonas	1875	1632
AlfI	Branchiibius	1667	1545
AlfI	Calidifontibacter	1844	1611
AlfI	Demetria	1400	1357
AlfI	Dermacoccus	4958	4334
AlfI	Flexivirga	2516	2382
AlfI	Kytococcus	5724	4166
AlfI	Luteipulveratus	4348	3976
AlfI	Rudaeicoccus	2219	2098
AlfI	Yimella	2043	1816
AlfI	unclassified	2770	2641
AlfI	Austwickia	2127	2063
AlfI	Dermatophilus	1896	1878
AlfI	Kineosphaera	2419	2201
AlfI	Mobilicoccus	2513	2248
AlfI	Piscicoccus	2171	1937
AlfI	Arsenicicoccus	2883	2593
AlfI	Humibacillus	6932	6190
AlfI	Intrasporangium	4788	4292
AlfI	Janibacter	14687	13456
AlfI	Knoellia	7653	6957
AlfI	Kribbia	1233	1095
AlfI	Lapillicoccus	1462	1299
AlfI	Marihabitans	1045	908
AlfI	Ornithinicoccus	3678	3344
AlfI	Ornithinimicrobium	17712	16384
AlfI	Oryzihumus	1885	1646
AlfI	Phycicoccus	14783	13400
AlfI	Serinicoccus	10489	9417
AlfI	Terrabacter	12758	10854
AlfI	Terracoccus	3913	2834
AlfI	Tetrasphaera	9200	8259
AlfI	unclassified	1911	1516
AlfI	Jonesia	2361	2326
AlfI	Agreia	9169	7749
AlfI	Agrococcus	19321	17910
AlfI	Agromyces	44896	41514
AlfI	Amnibacterium	3666	3338
